expected,predicted,confidence,correct
3,3,0.9997,1
j,S,0.5162,0
R,R,0.8341,1
L,L,0.9949,1
d,2,0.9608,0
m,M,0.735,0
N,N,0.9838,1
T,T,0.9857,1
s,S,0.9058,0
a,a,0.9893,1
C,C,0.628,1
r,r,0.9986,1
z,Z,0.4701,0
1,1,0.772,1
I,I,0.9939,1
s,S,0.7859,0
m,M,0.7441,0
t,t,0.9975,1
J,J,0.7798,1
5,5,0.9974,1
Y,Y,0.6402,1
P,P,0.5677,1
V,U,0.3568,0
F,F,0.6738,1
o,0,0.6417,0
7,7,1.0,1
e,e,0.9997,1
N,N,0.97,1
d,d,0.9984,1
x,X,0.5002,0
H,H,0.9913,1
o,0,0.5132,0
6,6,0.9997,1
g,8,0.6746,0
5,5,0.9992,1
4,4,0.9084,1
6,6,0.9902,1
H,H,0.9868,1
J,J,0.9823,1
F,F,0.9608,1
B,B,0.9997,1
Y,y,0.6251,0
G,G,0.9947,1
G,G,0.9985,1
R,R,0.9989,1
b,B,0.9979,0
s,S,0.8696,0
t,t,0.9951,1
r,r,0.9997,1
A,A,0.9896,1
P,P,0.8342,1
p,P,0.5683,0
E,E,0.9982,1
i,1,0.4717,0
c,C,0.7254,0
p,p,0.6042,1
v,V,0.5676,0
R,R,0.9646,1
z,Z,0.5092,0
3,3,1.0,1
g,8,0.962,0
y,4,0.851,0
C,C,0.9012,1
E,E,0.998,1
w,w,0.501,1
d,d,1.0,1
x,x,0.8417,1
4,4,0.9999,1
2,2,0.9999,1
X,X,0.7642,1
Z,Z,0.9691,1
C,C,0.7095,1
k,k,0.5532,1
9,9,0.9818,1
p,p,0.5672,1
A,A,0.9767,1
d,d,1.0,1
d,d,0.9996,1
T,T,0.9185,1
3,3,0.9029,1
i,i,0.9735,1
K,K,0.698,1
N,N,0.9869,1
4,4,0.9962,1
U,U,0.8612,1
j,J,0.5278,0
j,j,0.5412,1
q,q,0.612,1
o,O,0.641,0
y,4,0.7134,0
j,j,0.9322,1
i,1,0.5002,0
s,S,0.8765,0
1,1,0.7447,1
6,6,0.9999,1
C,C,0.8209,1
G,G,0.9098,1
k,k,0.7057,1
q,q,0.7695,1
L,L,0.9012,1
A,A,0.9959,1
8,8,0.9879,1
W,W,0.9525,1
8,8,0.9991,1
K,K,0.7063,1
4,4,0.9972,1
4,4,0.9946,1
h,h,0.9991,1
j,j,0.665,1
g,9,0.8148,0
y,Y,0.6283,0
r,r,0.9954,1
V,V,0.5309,1
n,n,0.9962,1
z,z,0.6668,1
P,F,0.5818,0
B,B,0.9985,1
S,S,0.8882,1
i,I,0.6023,0
a,a,0.9998,1
Z,Z,0.6841,1
k,k,0.511,1
j,J,0.7556,0
0,0,0.6377,1
j,3,0.3971,0
d,d,1.0,1
6,6,0.9997,1
Y,Y,0.8512,1
A,A,0.9976,1
d,d,0.9994,1
X,X,0.9063,1
F,F,0.697,1
u,U,0.7544,0
Y,Y,0.3798,1
l,l,0.3672,1
S,S,0.6449,1
0,0,0.5205,1
w,W,0.6007,0
W,W,0.9943,1
c,C,0.6774,0
e,e,0.9768,1
W,W,0.8874,1
1,1,0.7661,1
a,2,0.9345,0
x,x,0.8034,1
A,A,0.9997,1
Z,Z,0.681,1
e,e,0.9986,1
Z,z,0.5725,0
Q,Q,0.9364,1
F,F,0.6682,1
i,i,0.978,1
w,w,0.8316,1
z,2,0.8673,0
b,b,0.9551,1
0,0,0.4824,1
Y,Y,0.5503,1
5,5,0.9995,1
9,9,0.9496,1
q,9,0.965,0
j,j,0.5038,1
T,T,0.8108,1
d,d,0.9965,1
W,W,0.6488,1
E,F,0.5263,0
K,K,0.9211,1
U,U,0.8631,1
5,5,0.9998,1
S,S,0.4692,1
w,w,0.849,1
x,x,0.6904,1
h,h,1.0,1
O,0,0.6589,0
i,1,0.3704,0
I,I,0.678,1
B,B,0.9952,1
C,C,0.7206,1
1,1,0.8228,1
r,r,0.9077,1
i,i,0.9735,1
C,C,0.863,1
O,0,0.5173,0
y,4,0.3297,0
m,M,0.7301,0
4,4,0.9995,1
h,h,0.9828,1
C,C,0.6946,1
X,X,0.8115,1
Z,Z,0.4857,1
c,C,0.729,0
A,A,0.9899,1
n,n,0.9999,1
0,0,0.6753,1
R,R,0.9794,1
0,0,0.723,1
v,v,0.4232,1
L,L,0.9766,1
D,D,0.9995,1
0,0,0.771,1
F,F,0.7459,1
c,C,0.7206,0
L,L,0.9268,1
1,1,0.6655,1
u,U,0.6886,0
F,F,0.7847,1
l,1,0.5717,0
H,H,0.9942,1
d,d,0.9944,1
h,h,0.9999,1
x,x,0.34,1
H,H,0.9968,1
P,P,0.7955,1
5,S,0.8157,0
k,K,0.7609,0
K,K,0.5909,1
6,6,0.9983,1
N,N,0.9502,1
n,n,0.9984,1
t,t,0.9866,1
B,B,0.9252,1
z,Z,0.5059,0
0,0,0.6357,1
Y,Y,0.9209,1
f,F,0.6636,0
C,C,0.8964,1
7,7,1.0,1
P,P,0.9428,1
u,U,0.9004,0
J,J,0.9876,1
u,U,0.6855,0
g,8,0.7967,0
T,T,0.7933,1
r,r,1.0,1
5,5,1.0,1
n,n,0.999,1
N,N,0.8873,1
X,X,0.6209,1
z,z,0.659,1
g,9,0.9535,0
5,5,0.9197,1
6,6,0.9999,1
v,V,0.6628,0
q,9,0.8194,0
u,U,0.8398,0
i,i,0.5874,1
c,C,0.7468,0
r,r,0.999,1
j,j,0.9757,1
K,K,0.8697,1
7,7,0.9996,1
J,J,0.8694,1
2,2,0.997,1
P,P,0.787,1
N,N,0.9792,1
w,W,0.582,0
f,F,0.7611,0
t,t,0.7799,1
J,j,0.4879,0
4,4,0.9997,1
v,v,0.5848,1
C,C,0.8341,1
N,N,0.9766,1
A,A,0.9972,1
F,F,0.7182,1
h,h,0.9987,1
H,H,0.9882,1
C,C,0.92,1
h,h,0.9999,1
9,9,0.9568,1
f,F,0.8235,0
X,X,0.9131,1
Y,t,0.9991,0
k,k,0.842,1
k,K,0.7136,0
R,R,0.995,1
x,x,0.758,1
M,M,0.8748,1
T,T,0.9968,1
X,X,0.4161,1
m,M,0.7015,0
5,5,0.9999,1
c,C,0.6785,0
3,3,1.0,1
C,C,0.9078,1
i,I,0.7098,0
M,M,0.8262,1
Q,Q,0.7509,1
e,e,0.7474,1
k,k,0.8025,1
K,K,0.701,1
t,t,0.9801,1
f,F,0.7714,0
f,F,0.4608,0
c,C,0.6957,0
z,2,0.929,0
t,E,0.9836,0
9,9,0.9476,1
T,T,0.8608,1
T,T,0.7053,1
E,E,0.9187,1
7,7,0.9999,1
x,X,0.8515,0
T,T,0.9989,1
j,j,0.9567,1
1,1,0.6007,1
k,k,0.8172,1
F,F,0.7405,1
o,O,0.6308,0
b,b,0.9988,1
A,A,0.9977,1
f,t,0.3028,0
K,K,0.6924,1
q,9,0.8365,0
c,C,0.7377,0
x,x,0.5398,1
5,5,0.9994,1
l,L,0.9933,0
a,a,0.4045,1
h,h,0.9964,1
G,G,0.9905,1
z,z,0.5419,1
2,2,0.8724,1
9,9,0.969,1
h,h,0.8161,1
u,U,0.7255,0
m,M,0.6103,0
7,7,1.0,1
W,W,0.6461,1
X,X,0.8778,1
T,T,0.8641,1
Q,Q,0.8683,1
e,e,0.9903,1
B,B,0.932,1
y,y,0.7479,1
Q,Q,0.9992,1
B,B,0.9898,1
h,h,0.9822,1
2,2,0.7973,1
J,J,0.8901,1
e,e,0.9999,1
S,5,0.5106,0
C,C,0.8024,1
B,B,0.9905,1
x,x,0.5334,1
X,X,0.5291,1
X,X,0.7984,1
M,M,0.7522,1
h,h,0.9997,1
f,F,0.6686,0
K,K,0.7531,1
0,0,0.6625,1
4,4,0.9988,1
N,N,0.976,1
a,a,0.9972,1
t,t,0.9995,1
L,L,0.9607,1
R,R,0.9993,1
C,C,0.695,1
J,J,0.9596,1
i,i,0.9264,1
W,W,0.5952,1
I,1,0.558,0
t,t,0.9925,1
g,9,0.6315,0
a,e,0.3813,0
B,B,0.9997,1
Q,Q,0.964,1
T,T,0.9991,1
T,T,0.8888,1
q,9,0.8434,0
O,0,0.6453,0
A,A,0.9805,1
9,9,0.9877,1
0,0,0.8145,1
s,S,0.7099,0
O,O,0.6457,1
t,t,0.6402,1
X,X,0.8517,1
l,l,0.5269,1
q,9,0.9509,0
s,S,0.8731,0
R,R,0.9876,1
r,r,0.9978,1
Y,Y,0.4566,1
Z,2,0.4976,0
L,L,0.6967,1
d,d,0.9999,1
v,v,0.6013,1
Y,y,0.5719,0
c,C,0.7418,0
b,b,0.9977,1
e,e,0.9996,1
x,x,0.6789,1
9,9,0.9878,1
w,w,0.823,1
V,V,0.537,1
f,F,0.7134,0
g,9,0.5673,0
d,d,0.9994,1
F,F,0.683,1
m,M,0.7921,0
j,j,0.5633,1
3,3,1.0,1
S,S,0.7667,1
U,U,0.6938,1
A,A,0.9983,1
6,6,0.9999,1
E,E,0.9994,1
E,E,0.9993,1
M,M,0.6745,1
O,O,0.7225,1
J,J,0.9759,1
f,F,0.7509,0
I,1,0.6041,0
d,d,0.9999,1
c,C,0.6332,0
Z,Z,0.5229,1
9,9,0.9758,1
1,1,0.6094,1
g,9,0.8846,0
5,5,0.9999,1
Q,Q,0.5509,1
G,G,0.6581,1
v,r,0.8305,0
y,Y,0.7825,0
n,n,0.9858,1
F,F,0.6675,1
n,n,0.7418,1
o,O,0.6432,0
S,S,0.8726,1
d,d,0.9998,1
2,2,0.9989,1
y,Y,0.8456,0
1,I,0.4284,0
A,A,0.922,1
2,2,0.995,1
n,N,0.902,0
Y,Y,0.8851,1
a,a,0.997,1
n,n,0.9991,1
1,1,0.471,1
N,N,0.8347,1
m,M,0.572,0
V,V,0.4362,1
e,e,0.9868,1
G,G,0.9481,1
K,K,0.8703,1
g,g,0.8043,1
C,C,0.8901,1
y,Y,0.645,0
6,6,0.8634,1
f,F,0.6613,0
L,L,0.884,1
g,g,0.9673,1
X,x,0.5065,0
s,5,0.7434,0
L,L,0.9266,1
V,v,0.6245,0
v,V,0.754,0
U,U,0.9447,1
G,G,0.9962,1
c,C,0.742,0
i,i,0.6514,1
f,F,0.7223,0
7,7,0.9999,1
3,3,1.0,1
p,P,0.7014,0
O,0,0.8009,0
H,H,0.9915,1
T,T,0.7155,1
B,B,0.9996,1
D,D,0.8059,1
j,j,0.4708,1
V,v,0.5666,0
I,1,0.6144,0
l,1,0.6064,0
C,C,0.8023,1
u,U,0.6687,0
s,5,0.5625,0
4,4,0.9934,1
S,S,0.5442,1
s,S,0.8547,0
Z,2,0.9635,0
h,h,0.9997,1
Y,Y,0.7049,1
r,r,0.9893,1
i,i,0.897,1
n,n,0.9892,1
z,z,0.7898,1
X,X,0.6067,1
D,D,0.9992,1
y,4,0.7082,0
F,F,0.9401,1
c,C,0.7093,0
J,J,0.9339,1
k,K,0.567,0
t,t,0.9999,1
d,d,0.9995,1
S,S,0.6289,1
d,d,0.9987,1
G,G,0.9963,1
h,h,0.9976,1
v,v,0.622,1
f,F,0.6408,0
R,R,0.9811,1
i,i,0.9885,1
l,1,0.6685,0
5,5,0.9626,1
g,9,0.6958,0
u,U,0.7553,0
7,7,0.9999,1
1,1,0.8156,1
g,g,0.67,1
w,w,0.6422,1
N,N,0.9391,1
w,w,0.7171,1
Q,Q,0.9987,1
F,F,0.7814,1
m,M,0.7242,0
n,n,0.9998,1
b,b,0.9844,1
z,z,0.4587,1
Z,2,0.507,0
n,n,0.9994,1
j,j,0.9698,1
4,4,0.9997,1
V,V,0.7023,1
N,N,0.7401,1
4,4,0.973,1
4,4,1.0,1
z,Z,0.3955,0
v,V,0.524,0
O,0,0.6062,0
N,N,0.9903,1
6,6,0.9994,1
z,z,0.5105,1
y,7,0.7554,0
g,9,0.5458,0
e,e,1.0,1
l,1,0.7436,0
w,w,0.705,1
O,0,0.5323,0
P,P,0.8381,1
S,S,0.8689,1
W,w,0.7526,0
0,0,0.8388,1
Z,Z,0.5355,1
I,1,0.5848,0
L,L,0.4116,1
B,B,0.997,1
Z,Z,0.5728,1
D,D,0.983,1
w,w,0.8424,1
G,G,0.8468,1
p,P,0.8033,0
F,F,0.9585,1
3,3,1.0,1
2,2,0.993,1
X,X,0.839,1
T,T,0.9987,1
D,D,0.9859,1
A,A,0.9917,1
s,S,0.6638,0
Y,Y,0.7026,1
u,U,0.787,0
P,P,0.8196,1
X,h,0.4287,0
f,F,0.7838,0
H,H,0.9858,1
R,R,0.9845,1
3,3,1.0,1
p,e,0.2442,0
1,1,0.7413,1
5,5,0.9695,1
7,7,0.999,1
b,6,0.6163,0
u,U,0.6722,0
m,M,0.6717,0
7,7,1.0,1
k,K,0.6064,0
V,v,0.5807,0
4,4,1.0,1
x,x,0.8777,1
l,1,0.6631,0
R,R,0.5791,1
g,9,0.9358,0
W,w,0.5059,0
L,L,0.9856,1
a,a,0.7146,1
N,N,0.9458,1
K,k,0.7774,0
1,1,0.7225,1
T,T,0.9832,1
Y,Y,0.5199,1
a,a,0.9998,1
s,S,0.6181,0
3,3,0.9999,1
C,C,0.9263,1
x,x,0.657,1
s,S,0.9119,0
e,e,1.0,1
N,N,0.9455,1
J,J,0.9702,1
Z,Z,0.6077,1
e,e,1.0,1
L,L,0.9673,1
H,H,0.9999,1
L,L,0.9933,1
X,X,0.7177,1
F,F,0.9792,1
Y,Y,0.8872,1
2,2,1.0,1
M,M,0.7997,1
9,q,0.4723,0
O,O,0.8528,1
s,S,0.8166,0
l,1,0.5322,0
M,M,0.7448,1
X,x,0.6258,0
E,E,0.9647,1
R,R,0.9997,1
3,3,0.9999,1
c,C,0.7257,0
R,R,0.9937,1
t,T,0.8558,0
v,v,0.5132,1
p,p,0.5599,1
r,r,1.0,1
N,N,0.9539,1
B,B,0.9924,1
Y,Y,0.9263,1
r,r,0.9999,1
c,C,0.6836,0
g,g,0.457,1
I,1,0.6956,0
A,A,0.992,1
1,1,0.4275,1
I,I,0.5693,1
o,O,0.7803,0
F,F,0.9888,1
F,F,0.6609,1
a,a,0.9998,1
F,F,0.704,1
7,7,1.0,1
F,F,0.8851,1
l,I,0.5253,0
Q,Q,0.9989,1
3,3,1.0,1
y,4,0.9154,0
R,R,0.8987,1
a,a,0.9754,1
w,w,0.7144,1
J,J,0.9806,1
G,G,0.9918,1
s,S,0.7848,0
v,v,0.3863,1
4,4,0.9939,1
Y,Y,0.6249,1
j,j,0.9161,1
3,3,1.0,1
w,W,0.5451,0
v,v,0.5229,1
6,6,0.9998,1
x,x,0.705,1
1,1,0.8096,1
o,O,0.6594,0
8,8,1.0,1
J,J,0.6781,1
y,Y,0.667,0
P,P,0.8569,1
t,F,0.4388,0
h,h,0.5051,1
e,e,0.9884,1
j,j,0.6258,1
H,H,0.9921,1
n,n,0.9991,1
E,E,0.9353,1
2,2,0.7761,1
6,6,0.9948,1
K,K,0.8612,1
Y,Y,0.9259,1
r,r,0.9686,1
N,N,0.9325,1
G,G,0.9982,1
2,2,0.9995,1
3,3,0.9992,1
9,9,0.9834,1
z,z,0.3629,1
f,F,0.8279,0
R,R,0.9535,1
o,O,0.5078,0
M,M,0.8331,1
v,V,0.7308,0
b,b,0.9701,1
T,T,0.9989,1
n,N,0.9596,0
q,9,0.467,0
G,6,0.6972,0
s,S,0.9079,0
8,8,0.9933,1
D,D,0.9988,1
p,p,0.6006,1
n,n,0.6886,1
y,y,0.3643,1
n,N,0.9728,0
o,O,0.6616,0
O,0,0.5451,0
m,M,0.8732,0
x,x,0.8733,1
c,C,0.7252,0
m,M,0.6636,0
1,1,0.4612,1
S,S,0.9343,1
J,J,0.9891,1
f,F,0.7329,0
f,F,0.5569,0
O,0,0.5858,0
D,D,0.8636,1
y,Y,0.5658,0
v,V,0.5039,0
c,C,0.6259,0
M,M,0.9372,1
3,3,0.999,1
T,T,0.9859,1
6,6,1.0,1
m,M,0.745,0
z,z,0.6828,1
u,U,0.7046,0
E,E,0.9102,1
3,3,1.0,1
4,4,1.0,1
z,Z,0.6092,0
g,9,0.6166,0
D,D,0.9976,1
0,O,0.6092,0
C,C,0.8366,1
m,M,0.761,0
r,r,1.0,1
u,U,0.7549,0
v,V,0.6271,0
I,1,0.3369,0
6,6,0.9927,1
r,r,0.9992,1
s,S,0.7248,0
V,V,0.8384,1
Q,Q,0.9971,1
r,r,0.9996,1
Z,z,0.5174,0
k,k,0.4731,1
J,J,0.973,1
X,X,0.8297,1
h,H,0.9947,0
F,F,0.8263,1
M,M,0.736,1
t,T,0.5723,0
F,F,0.6479,1
a,a,0.999,1
x,Y,0.3025,0
q,9,0.6096,0
a,0,0.3294,0
6,6,0.9726,1
r,T,0.9871,0
q,9,0.9441,0
U,U,0.8805,1
g,9,0.8942,0
F,F,0.7013,1
1,1,0.7281,1
g,g,0.6937,1
l,1,0.7962,0
4,4,0.9791,1
W,W,0.9192,1
A,A,0.992,1
S,S,0.722,1
5,5,1.0,1
p,P,0.5785,0
v,U,0.7571,0
L,L,0.9385,1
l,I,0.5078,0
a,n,0.9974,0
R,R,0.9817,1
7,7,1.0,1
D,D,0.9806,1
Q,Q,0.9967,1
l,1,0.7514,0
J,J,0.8269,1
6,6,0.9997,1
z,z,0.7787,1
B,B,0.9997,1
q,q,0.5383,1
8,8,1.0,1
I,I,0.7094,1
Q,Q,0.9998,1
E,E,0.8459,1
q,9,0.948,0
W,w,0.6341,0
0,0,0.7361,1
v,v,0.4442,1
A,A,0.9942,1
O,0,0.604,0
P,P,0.7619,1
U,U,0.9751,1
E,E,0.9968,1
k,k,0.933,1
T,T,0.9911,1
E,E,0.9807,1
P,P,0.6466,1
d,d,0.9827,1
Z,Z,0.9642,1
i,I,0.4189,0
B,B,0.9875,1
Q,Q,0.9604,1
o,0,0.6771,0
R,R,0.9785,1
8,8,0.9999,1
s,S,0.9113,0
U,U,0.7273,1
5,5,0.9999,1
T,T,0.9884,1
9,9,0.9976,1
t,t,0.995,1
C,C,0.9086,1
h,h,0.9999,1
z,z,0.5697,1
q,8,0.9615,0
E,E,0.9989,1
y,Y,0.7128,0
o,0,0.4932,0
G,G,0.9735,1
u,u,0.4433,1
o,0,0.7388,0
d,d,1.0,1
1,1,0.5879,1
H,H,0.973,1
J,j,0.4944,0
4,4,0.9999,1
7,7,1.0,1
3,3,1.0,1
e,e,0.9999,1
l,1,0.6268,0
P,P,0.7,1
e,e,1.0,1
F,t,0.5185,0
p,P,0.5301,0
S,S,0.6086,1
2,2,1.0,1
T,T,0.9646,1
v,v,0.5506,1
J,J,0.9624,1
E,E,0.9994,1
E,E,0.9925,1
T,T,0.9389,1
p,P,0.721,0
H,H,0.9975,1
z,Z,0.6504,0
L,L,0.9711,1
m,M,0.7148,0
K,K,0.5456,1
8,8,0.9998,1
D,D,0.4294,1
J,J,0.6638,1
T,T,0.9784,1
k,L,0.7203,0
4,4,0.9997,1
N,N,0.9262,1
h,h,0.9995,1
H,H,0.9841,1
t,t,0.9959,1
2,2,1.0,1
v,U,0.8059,0
M,M,0.6033,1
V,v,0.5078,0
Q,Q,0.9877,1
f,F,0.6032,0
S,S,0.8461,1
d,d,0.5469,1
d,d,0.9899,1
r,r,0.9972,1
V,v,0.5538,0
1,1,0.8287,1
K,k,0.6312,0
h,h,0.9984,1
G,G,0.9977,1
k,k,0.7345,1
l,1,0.603,0
k,k,0.6513,1
M,M,0.6992,1
7,7,1.0,1
4,4,0.9998,1
u,U,0.8298,0
X,X,0.7929,1
e,e,0.9984,1
O,0,0.7844,0
K,K,0.6307,1
2,2,0.9994,1
C,C,0.6666,1
a,a,0.9987,1
j,j,0.9685,1
M,M,0.7429,1
r,r,0.9077,1
s,S,0.8224,0
x,V,0.4187,0
m,M,0.7238,0
Y,Y,0.7868,1
n,n,0.9992,1
l,I,0.3515,0
l,1,0.5873,0
W,W,0.5588,1
Z,Z,0.5676,1
q,a,0.9717,0
4,4,0.9999,1
b,b,0.9935,1
z,2,0.8227,0
A,A,0.9964,1
u,U,0.6564,0
7,7,0.9999,1
A,A,0.9997,1
a,a,0.9964,1
G,G,0.3843,1
5,5,1.0,1
1,1,0.7663,1
6,6,0.998,1
L,L,0.952,1
6,6,0.9997,1
U,U,0.838,1
W,w,0.5367,0
G,6,0.7943,0
t,t,0.9982,1
I,1,0.6559,0
5,5,0.9995,1
0,0,0.8006,1
9,9,0.9846,1
n,n,0.5191,1
8,8,0.9963,1
t,t,0.9639,1
7,7,1.0,1
K,K,0.5498,1
b,6,0.495,0
X,X,0.846,1
2,2,0.9991,1
E,E,0.9991,1
L,L,0.9913,1
O,O,0.6329,1
4,4,0.9968,1
g,9,0.9432,0
o,O,0.6939,0
x,x,0.7657,1
k,K,0.828,0
s,S,0.8734,0
C,C,0.7485,1
Q,Q,0.7181,1
H,H,0.9983,1
3,3,1.0,1
O,0,0.547,0
C,C,0.7012,1
7,7,0.9979,1
9,9,0.9592,1
L,L,0.9816,1
b,6,0.8894,0
x,t,0.6853,0
p,p,0.5,1
H,H,0.9956,1
p,P,0.5715,0
h,h,0.9932,1
9,9,0.9,1
X,X,0.6217,1
v,v,0.4344,1
c,C,0.84,0
s,S,0.76,0
t,t,1.0,1
8,8,0.9864,1
m,M,0.7118,0
8,8,0.9995,1
v,v,0.5497,1
G,G,0.9984,1
6,6,0.9637,1
J,J,0.9865,1
M,M,0.7092,1
b,b,0.9139,1
Q,Q,0.9967,1
y,4,0.6084,0
v,v,0.517,1
P,P,0.8632,1
L,L,0.9863,1
k,K,0.5152,0
J,J,0.8798,1
A,A,0.978,1
Z,Z,0.666,1
5,5,0.9765,1
6,6,0.9999,1
W,W,0.8055,1
A,A,0.986,1
v,v,0.5528,1
7,7,0.9997,1
s,S,0.9002,0
p,P,0.7651,0
U,4,0.9979,0
X,X,0.636,1
g,g,0.6034,1
I,1,0.4784,0
3,g,0.6098,0
p,P,0.7954,0
M,M,0.7678,1
B,Z,0.2345,0
4,4,0.9996,1
e,e,0.9985,1
Y,Y,0.9556,1
J,J,0.967,1
h,h,0.9957,1
G,G,0.9975,1
8,8,1.0,1
P,P,0.8836,1
U,v,0.4406,0
0,0,0.7042,1
l,1,0.5811,0
r,r,1.0,1
S,S,0.8121,1
i,i,0.9569,1
J,J,0.9632,1
1,1,0.6421,1
X,X,0.8093,1
0,0,0.7457,1
C,C,0.7371,1
K,K,0.7126,1
i,1,0.669,0
w,w,0.6851,1
e,e,0.9993,1
U,U,0.8575,1
c,C,0.7247,0
J,J,0.6105,1
O,0,0.6859,0
N,N,0.9737,1
G,G,0.9969,1
p,P,0.7444,0
0,0,0.7431,1
b,6,0.9132,0
x,X,0.3527,0
l,1,0.7572,0
p,p,0.561,1
P,P,0.8426,1
N,N,0.9976,1
c,C,0.7414,0
5,5,0.9595,1
W,W,0.6003,1
k,k,0.7251,1
g,a,0.8656,0
I,I,0.3929,1
y,y,0.6592,1
4,4,0.9953,1
f,F,0.5725,0
u,4,0.5562,0
U,U,0.9798,1
o,0,0.4966,0
M,M,0.7013,1
Q,Q,0.9803,1
Y,Y,0.9839,1
n,n,0.964,1
Q,Q,0.9958,1
I,I,0.7275,1
Y,Y,0.7944,1
j,J,0.5193,0
2,2,0.9616,1
E,E,0.998,1
C,C,0.8464,1
V,V,0.6008,1
T,T,0.9836,1
c,C,0.7953,0
o,O,0.5234,0
l,1,0.5049,0
w,w,0.8177,1
3,3,1.0,1
p,P,0.5851,0
f,F,0.5471,0
I,I,0.553,1
9,9,0.9376,1
8,8,0.9794,1
K,K,0.677,1
C,C,0.7238,1
U,U,0.8296,1
l,1,0.6365,0
y,y,0.5777,1
r,r,0.9992,1
4,4,1.0,1
T,T,0.4839,1
q,9,0.9274,0
b,b,0.9815,1
e,e,0.9997,1
w,w,0.9135,1
l,I,0.5976,0
L,L,0.6581,1
5,5,0.9961,1
g,g,0.3489,1
M,M,0.7915,1
n,n,0.9998,1
R,R,0.9971,1
2,2,0.9227,1
9,e,0.7647,0
t,t,0.9996,1
p,P,0.5575,0
q,q,0.4585,1
r,r,0.9928,1
L,L,0.8901,1
g,9,0.7737,0
g,9,0.8038,0
S,S,0.8763,1
e,e,0.9997,1
D,D,0.9262,1
0,0,0.844,1
B,B,0.8783,1
1,1,0.649,1
9,9,0.9926,1
E,E,0.524,1
P,P,0.9838,1
4,A,0.706,0
b,b,0.9637,1
t,F,0.4488,0
Z,Z,0.4552,1
7,7,0.9999,1
K,k,0.4929,0
4,4,0.9999,1
s,S,0.7024,0
Z,Z,0.7938,1
P,P,0.7772,1
5,5,0.7648,1
W,W,0.9841,1
Q,Q,0.9911,1
t,t,0.9811,1
C,C,0.5296,1
G,G,0.9757,1
f,F,0.762,0
z,2,0.5291,0
P,P,0.6747,1
6,6,0.9971,1
M,M,0.917,1
C,C,0.7496,1
u,U,0.6617,0
h,h,0.9999,1
o,O,0.5136,0
W,W,0.9726,1
Y,Y,0.4101,1
Y,Y,0.8788,1
f,t,0.5823,0
N,N,0.9964,1
u,U,0.8107,0
W,W,0.8148,1
4,4,0.9677,1
3,3,0.9999,1
H,H,0.9964,1
L,L,0.9898,1
1,1,0.6122,1
5,5,1.0,1
m,M,0.7568,0
1,1,0.8863,1
5,5,0.8968,1
c,C,0.6994,0
E,E,0.9963,1
q,9,0.8712,0
T,T,0.962,1
Y,Y,0.7721,1
k,k,0.9333,1
V,V,0.6449,1
o,0,0.438,0
P,P,0.9786,1
x,x,0.391,1
0,0,0.5816,1
z,z,0.5906,1
n,n,0.9985,1
u,U,0.6624,0
e,e,0.9934,1
z,2,0.8502,0
9,9,0.9384,1
V,V,0.7468,1
r,r,1.0,1
J,J,0.7969,1
4,4,0.9579,1
v,v,0.4046,1
W,W,0.8571,1
F,F,0.7369,1
f,F,0.731,0
g,g,0.9075,1
G,G,0.9993,1
O,O,0.7693,1
2,2,1.0,1
N,N,0.9913,1
n,n,0.9995,1
j,9,0.6066,0
u,U,0.7232,0
6,6,0.9992,1
M,M,0.7263,1
K,K,0.7836,1
B,B,0.9972,1
z,z,0.7483,1
o,O,0.5669,0
S,S,0.8462,1
r,r,0.9989,1
m,M,0.6968,0
A,A,0.792,1
y,Y,0.4198,0
8,8,0.9993,1
7,7,0.9992,1
H,H,0.9979,1
a,a,0.9651,1
X,X,0.7611,1
C,C,0.8094,1
H,H,0.9837,1
S,S,0.9191,1
a,a,0.9832,1
D,D,0.998,1
0,0,0.8087,1
k,K,0.7582,0
h,h,0.9998,1
5,5,0.9921,1
B,B,0.9991,1
A,A,0.9932,1
V,V,0.6449,1
B,B,0.9522,1
y,y,0.7098,1
U,U,0.6605,1
u,U,0.4285,0
8,8,1.0,1
q,a,0.6353,0
7,7,0.9998,1
V,V,0.5671,1
I,I,0.3643,1
5,5,1.0,1
d,a,0.74,0
A,A,0.9954,1
Y,Y,0.8883,1
9,9,0.9938,1
o,0,0.4953,0
0,O,0.7763,0
z,2,0.5563,0
a,a,0.9818,1
g,g,0.5026,1
I,I,0.4994,1
m,M,0.5689,0
p,p,0.5072,1
6,6,0.9946,1
d,N,0.9843,0
H,H,0.9832,1
0,0,0.784,1
7,7,1.0,1
7,7,0.9943,1
Z,Z,0.7988,1
J,J,0.9204,1
P,P,0.8339,1
W,w,0.5781,0
4,4,0.9991,1
D,D,0.9953,1
U,U,0.6892,1
6,6,0.9999,1
K,K,0.8181,1
T,T,0.9784,1
z,Z,0.4548,0
M,M,0.9898,1
D,D,0.9995,1
O,0,0.5115,0
A,n,0.6298,0
G,G,0.9088,1
Z,Z,0.6064,1
0,0,0.4776,1
b,b,0.9835,1
q,G,0.4167,0
C,C,0.8093,1
A,A,0.9957,1
1,1,0.7963,1
b,b,0.5303,1
8,8,0.9999,1
3,3,0.9999,1
3,3,1.0,1
S,S,0.6812,1
d,d,1.0,1
k,K,0.4177,0
A,A,0.8316,1
l,l,0.483,1
i,I,0.423,0
R,R,0.9825,1
